AAPL
MSFT
NVDA
AMZN
META
GOOGL
GOOG
BRK.B
LLY
AVGO
JPM
TSLA
XOM
UNH
V
PG
JNJ
MA
COST
HD
ABBV
WMT
MRK
NFLX
KO
BAC
CVX
CRM
ADBE
PEP
TMO
AMD
LIN
ORCL
ACN
MCD
ABT
CSCO
QCOM
WFC
GE
PM
DHR
IBM
TXN
INTU
AMGN
VZ
ISRG
CAT
NOW
PFE
NEE
AMAT
DIS
GS
SPGI
CMCSA
RTX
UNP
UBER
T
LOW
AXP
HON
PGR
COP
TJX
ELV
VRTX
BLK
MS
LMT
REGN
BKNG
ETN
PLD
BSX
C
SYK
MDT
CB
MMC
ADP
ADI
AMT
LRCX
PANW
MU
KLAC
TMUS
BA
BMY
CI
MDLZ
SO
GILD
FI
SCHW
BX
UPS
DE
NKE
ICE
INTC
DUK
MO
SBUX
ZTS
CL
ANET
SHW
SNPS
EQIX
WM
KKR
CMG
APH
TT
CME
CDNS
PH
EOG
CVS
MCO
MCK
AON
HCA
WELL
MMM
MSI
NOC
TDG
BDX
PNC
PYPL
CSX
ORLY
GD
ITW
USB
CTAS
FDX
NXPI
SLB
APD
TGT
MPC
AJG
ECL
EMR
CEG
FCX
PSX
TFC
ROP
CRWD
NEM
NSC
AZO
CARR
WMB
O
AFL
MAR
DHI
AEP
COF
ADSK
SPG
ABNB
HLT
OKE
PSA
VLO
SRE
PCAR
GM
TRV
DLR
GEV
CCI
AIG
KMB
BK
ROST
URI
D
JCI
ALL
TEL
FTNT
LHX
CPRT
IQV
GWW
FIS
FICO
HUM
MSCI
LEN
MCHP
MET
RSG
KMI
KVUE
CMI
MPWR
CNC
IDXX
AMP
A
PAYX
F
PEG
COR
PRU
GIS
STZ
PCG
OXY
YUM
EW
PWR
FAST
VRSK
OTIS
SYY
EXC
IT
DOW
CTSH
HES
RCL
AME
IR
ACGL
CTVA
HWM
KDP
CHTR
EA
KR
FANG
BKR
ODFL
NUE
GEHC
ED
EXR
EFX
MLM
DD
VMC
CBRE
VICI
HIG
XEL
MNST
RMD
IRM
DFS
EIX
ON
XYL
TRGP
MTD
CSGP
ROK
BIIB
GLW
AVB
HSY
DVN
ADM
WTW
HPQ
CDW
DXCM
EBAY
TSCO
NDAQ
AWK
KHC
PPG
MRNA
HAL
LULU
WEC
FITB
MTB
ANSS
NVR
WAB
GPN
AXON
DG
PHM
VST
SMCI
GRMN
DAL
BR
CHD
ETR
DTE
DOV
NTAP
LYB
IFF
FTV
TYL
CAH
EQR
VTR
STE
BRO
VLTO
STT
TROW
SBAC
FSLR
ZBH
WY
ES
DECK
PPL
HPE
GDDY
TTWO
WST
FE
CBOE
KEYS
EL
AEE
RJF
INVH
PTC
CPAY
HUBB
CINF
BALL
SW
DLTR
WAT
LDOS
K
MOH
HOLX
MKC
GPC
HBAN
RF
TDY
CMS
LH
BAX
WDC
ATO
BLDR
TER
APTV
SYF
CFG
OMC
STX
COO
EQT
CTRA
ESS
J
CLX
STLD
MAA
TSN
ARE
PKG
DRI
WRB
NTRS
EXPD
AVY
DGX
CNP
TXT
ZBRA
SWKS
PFG
NRG
MAS
ULTA
BBY
EG
VRSN
WBD
IP
MRO
FDS
AMCR
DPZ
ALGN
DOC
LUV
EXPE
ENPH
LVS
RVTY
IEX
CCL
SWK
VTRS
CF
KIM
SNA
CAG
L
BG
LNT
PODD
GEN
NI
AKAM
PNR
KEY
EVRG
POOL
UAL
JBHT
ROL
UHS
LYV
TRMB
CPT
NDSN
CE
UDR
JNPR
JBL
JKHY
SJM
KMX
IPG
TECH
REG
CHRW
HST
ALLE
EMN
FFIV
AES
EPAM
TFX
CTLT
LKQ
QRVO
CRL
APA
NWSA
HII
AOS
TAP
BXP
CPB
ALB
PNW
FOXA
MTCH
MGM
HRL
INCY
AIZ
HSIC
MOS
MKTX
TPR
GNRC
LW
DAY
FRT
HAS
SOLV
BF.B
GL
WBA
PAYC
FMC
CZR
BWA
DVA
MHK
WYNN
BBWI
IVZ
BIO
ETSY
AAL
NCLH
RL
BEN
PARA
FOX
NWS
